FacultyID,Day,AvailableTimeSlots
F101,Monday,All
F101,Tuesday,All
F101,Wednesday,All
F101,Thursday,All
F101,Friday,All
F101,Saturday,All
F102,Monday,All
F102,Tuesday,All
F102,Wednesday,All
F102,Thursday,All
F102,Friday,All
F102,Saturday,All
F103,Monday,All
F103,Tuesday,All
F103,Wednesday,All
F103,Thursday,All
F103,Friday,All
F103,Saturday,All
F104,Monday,All
F104,Tuesday,All
F104,Wednesday,All
F104,Thursday,All
F104,Friday,All
F104,Saturday,All
F105,Monday,All
F105,Tuesday,All
F105,Wednesday,All
F105,Thursday,All
F105,Friday,All
F105,Saturday,All
F106,Monday,All
F106,Tuesday,All
F106,Wednesday,All
F106,Thursday,All
F106,Friday,All
F106,Saturday,All
F107,Monday,All
F107,Tuesday,All
F107,Wednesday,All
F107,Thursday,All
F107,Friday,All
F107,Saturday,All
F108,Monday,All
F108,Tuesday,All
F108,Wednesday,All
F108,Thursday,All
F108,Friday,All
F108,Saturday,All
F109,Monday,All
F109,Tuesday,All
F109,Wednesday,All
F109,Thursday,All
F109,Friday,All
F109,Saturday,All
F110,Monday,All
F110,Tuesday,All
F110,Wednesday,All
F110,Thursday,All
F110,Friday,All
F110,Saturday,All
F111,Monday,All
F111,Tuesday,All
F111,Wednesday,All
F111,Thursday,All
F111,Friday,All
F111,Saturday,All
F112,Monday,All
F112,Tuesday,All
F112,Wednesday,All
F112,Thursday,All
F112,Friday,All
F112,Saturday,All
F113,Monday,All
F113,Tuesday,All
F113,Wednesday,All
F113,Thursday,All
F113,Friday,All
F113,Saturday,All
F114,Monday,All
F114,Tuesday,All
F114,Wednesday,All
F114,Thursday,All
F114,Friday,All
F114,Saturday,All
F115,Monday,All
F115,Tuesday,All
F115,Wednesday,All
F115,Thursday,All
F115,Friday,All
F115,Saturday,All
