Day,StartTime,EndTime,SlotType
Monday,09:00,09:55,Lecture
Monday,09:55,10:50,Lecture
Monday,10:50,11:05,Break
Monday,11:05,12:00,Lecture
Monday,12:00,12:55,Lecture
Monday,12:55,13:45,Lunch
Monday,13:45,14:40,Lecture
Monday,14:40,15:35,Lecture
Tuesday,09:00,09:55,Lecture
Tuesday,09:55,10:50,Lecture
Tuesday,10:50,11:05,Break
Tuesday,11:05,12:00,Lecture
Tuesday,12:00,12:55,Lecture
Tuesday,12:55,13:45,Lunch
Tuesday,13:45,14:40,Lecture
Tuesday,14:40,15:35,Lecture
Wednesday,09:00,09:55,Lecture
Wednesday,09:55,10:50,Lecture
Wednesday,10:50,11:05,Break
Wednesday,11:05,12:00,Lecture
Wednesday,12:00,12:55,Lecture
Wednesday,12:55,13:45,Lunch
Wednesday,13:45,14:40,Lecture
Wednesday,14:40,15:35,Lecture
Thursday,09:00,09:55,Lecture
Thursday,09:55,10:50,Lecture
Thursday,10:50,11:05,Break
Thursday,11:05,12:00,Lecture
Thursday,12:00,12:55,Lecture
Thursday,12:55,13:45,Lunch
Thursday,13:45,14:40,Lecture
Thursday,14:40,15:35,Lecture
Friday,09:00,09:55,Lecture
Friday,09:55,10:50,Lecture
Friday,10:50,11:05,Break
Friday,11:05,12:00,Lecture
Friday,12:00,12:55,Lecture
Friday,12:55,13:45,Lunch
Friday,13:45,14:40,Lecture
Friday,14:40,15:35,Lecture
Saturday,09:00,09:55,Lecture
Saturday,09:55,10:50,Lecture
Saturday,10:50,11:05,Break
Saturday,11:05,12:00,Lecture
Saturday,12:00,12:55,Lecture
